工号,日期,项目,金额,部门,是否已结清,备注
100719,2026-11-22,办公用品,986.03,销售部,否,武汉维修费报销（第719笔）
100720,2026-12-01,招待费,987.40,行政部,是,成都招待费报销（第720笔）
100721,2026-01-08,通讯费,988.77,财务部,否,北京招待费报销（第721笔）
100722,2026-02-15,维修费,990.14,市场部,否,北京招待费报销（第722笔）
100723,2026-03-22,办公用品,991.51,技术部,是,深圳办公用品报销（第723笔）
100724,2026-04-01,办公用品,992.88,市场部,否,西安办公用品报销（第724笔）
100725,2026-05-08,通讯费,994.25,技术部,否,成都通讯费报销（第725笔）
100726,2026-06-15,维修费,995.62,技术部,是,上海差旅费报销（第726笔）
100727,2026-07-22,招待费,996.99,技术部,否,深圳办公用品报销（第727笔）
100728,2026-08-01,招待费,998.36,财务部,否,北京维修费报销（第728笔）
100729,2026-09-08,招待费,999.73,市场部,是,上海招待费报销（第729笔）
100730,2026-10-15,快递费,1001.10,技术部,否,成都办公用品报销（第730笔）
100731,2026-11-22,招待费,1002.47,财务部,否,上海快递费报销（第731笔）
100732,2026-12-01,维修费,1003.84,财务部,是,武汉快递费报销（第732笔）
100733,2026-01-08,招待费,1005.21,财务部,否,成都维修费报销（第733笔）
100734,2026-02-15,培训费,1006.58,财务部,否,成都通讯费报销（第734笔）
100735,2026-03-22,差旅费,1007.95,市场部,是,西安培训费报销（第735笔）
100736,2026-04-01,快递费,1009.32,行政部,否,成都交通费报销（第736笔）
100737,2026-05-08,交通费,1010.69,财务部,否,上海通讯费报销（第737笔）
100738,2026-06-15,通讯费,1012.06,市场部,是,北京维修费报销（第738笔）
100739,2026-07-22,培训费,1013.43,市场部,否,上海培训费报销（第739笔）
100740,2026-08-01,通讯费,1014.80,销售部,否,深圳快递费报销（第740笔）
100741,2026-09-08,办公用品,1016.17,行政部,是,武汉交通费报销（第741笔）
100742,2026-10-15,培训费,1017.54,销售部,否,上海交通费报销（第742笔）
100743,2026-11-22,差旅费,1018.91,财务部,否,深圳培训费报销（第743笔）
100744,2026-12-01,交通费,1020.28,财务部,是,杭州办公用品报销（第744笔）
100745,2026-01-08,通讯费,1021.65,行政部,否,北京通讯费报销（第745笔）
100746,2026-02-15,快递费,1023.02,市场部,否,西安维修费报销（第746笔）
100747,2026-03-22,快递费,1024.39,市场部,是,深圳招待费报销（第747笔）
100748,2026-04-01,招待费,1025.76,技术部,否,北京快递费报销（第748笔）
100749,2026-05-08,维修费,1027.13,市场部,否,成都差旅费报销（第749笔）
100750,2026-06-15,差旅费,1028.50,市场部,是,
100751,2026-07-22,培训费,1029.87,销售部,否,西安差旅费报销（第751笔）
100752,2026-08-01,招待费,1031.24,销售部,否,北京维修费报销（第752笔）
100753,2026-09-08,招待费,1032.61,财务部,是,西安招待费报销（第753笔）
100754,2026-10-15,差旅费,1033.98,行政部,否,武汉快递费报销（第754笔）
100755,2026-11-22,通讯费,1035.35,财务部,否,杭州差旅费报销（第755笔）
100756,2026-12-01,快递费,1036.72,财务部,是,上海快递费报销（第756笔）
100757,2026-01-08,差旅费,1038.09,市场部,否,成都快递费报销（第757笔）
100758,2026-02-15,通讯费,1039.46,销售部,否,杭州通讯费报销（第758笔）
100759,2026-03-22,快递费,1040.83,行政部,是,杭州培训费报销（第759笔）
100760,2026-04-01,招待费,1042.20,财务部,否,北京维修费报销（第760笔）
100761,2026-05-08,培训费,1043.57,销售部,否,西安办公用品报销（第761笔）
100762,2026-06-15,维修费,1044.94,财务部,是,杭州培训费报销（第762笔）
100763,2026-07-22,培训费,1046.31,销售部,否,成都办公用品报销（第763笔）
100764,2026-08-01,培训费,1047.68,财务部,否,上海办公用品报销（第764笔）
100765,2026-09-08,交通费,1049.05,财务部,是,深圳招待费报销（第765笔）
100766,2026-10-15,快递费,1050.42,技术部,否,上海交通费报销（第766笔）
100767,2026-11-22,培训费,1051.79,技术部,否,上海交通费报销（第767笔）
100768,2026-12-01,交通费,1053.16,行政部,是,上海通讯费报销（第768笔）
100769,2026-01-08,培训费,1054.53,财务部,否,深圳快递费报销（第769笔）
100770,2026-02-15,快递费,1055.90,技术部,否,北京交通费报销（第770笔）
100771,2026-03-22,快递费,1057.27,行政部,是,上海交通费报销（第771笔）
100772,2026-04-01,通讯费,1058.64,技术部,否,武汉交通费报销（第772笔）
100773,2026-05-08,招待费,1060.01,财务部,否,深圳通讯费报销（第773笔）
100774,2026-06-15,培训费,1061.38,财务部,是,杭州通讯费报销（第774笔）
100775,2026-07-22,差旅费,1062.75,技术部,否,北京培训费报销（第775笔）
100776,2026-08-01,通讯费,1064.12,市场部,否,上海维修费报销（第776笔）
100777,2026-09-08,快递费,1065.49,财务部,是,西安招待费报销（第777笔）
100778,2026-10-15,招待费,1066.86,技术部,否,北京差旅费报销（第778笔）
100779,2026-11-22,培训费,1068.23,销售部,否,北京办公用品报销（第779笔）
100780,2026-12-01,交通费,1069.60,财务部,是,杭州差旅费报销（第780笔）
100781,2026-01-08,培训费,1070.97,财务部,否,深圳快递费报销（第781笔）
100782,2026-02-15,培训费,1072.34,销售部,否,西安交通费报销（第782笔）
100783,2026-03-22,招待费,1073.71,市场部,是,北京培训费报销（第783笔）
100784,2026-04-01,招待费,1075.08,市场部,否,杭州快递费报销（第784笔）
100785,2026-05-08,办公用品,1076.45,技术部,否,西安培训费报销（第785笔）
100786,2026-06-15,办公用品,1077.82,财务部,是,北京培训费报销（第786笔）
100787,2026-07-22,办公用品,1079.19,销售部,否,深圳差旅费报销（第787笔）
100788,2026-08-01,差旅费,1080.56,销售部,否,成都差旅费报销（第788笔）
100789,2026-09-08,快递费,1081.93,市场部,是,杭州交通费报销（第789笔）
100790,2026-10-15,快递费,1083.30,技术部,否,深圳交通费报销（第790笔）
100791,2026-11-22,培训费,1084.67,财务部,否,北京通讯费报销（第791笔）
100792,2026-12-01,维修费,1086.04,市场部,是,深圳招待费报销（第792笔）
100793,2026-01-08,招待费,1087.41,销售部,否,上海维修费报销（第793笔）
100794,2026-02-15,培训费,1088.78,技术部,否,武汉办公用品报销（第794笔）
100795,2026-03-22,差旅费,1090.15,行政部,是,西安培训费报销（第795笔）
100796,2026-04-01,快递费,1091.52,行政部,否,上海招待费报销（第796笔）
100797,2026-05-08,通讯费,1092.89,行政部,否,北京办公用品报销（第797笔）
100798,2026-06-15,办公用品,1094.26,行政部,是,武汉培训费报销（第798笔）
100799,2026-07-22,快递费,1095.63,技术部,否,北京办公用品报销（第799笔）
100800,2026-08-01,快递费,1097.00,财务部,否,
100801,2026-09-08,培训费,1098.37,技术部,是,北京培训费报销（第801笔）
100802,2026-10-15,差旅费,1099.74,销售部,否,杭州招待费报销（第802笔）
100803,2026-11-22,招待费,1101.11,行政部,否,上海差旅费报销（第803笔）
100804,2026-12-01,培训费,1102.48,市场部,是,武汉通讯费报销（第804笔）
100805,2026-01-08,交通费,1103.85,行政部,否,深圳维修费报销（第805笔）
100806,2026-02-15,办公用品,1105.22,销售部,否,西安维修费报销（第806笔）
100807,2026-03-22,通讯费,1106.59,市场部,是,杭州差旅费报销（第807笔）
100808,2026-04-01,培训费,1107.96,技术部,否,武汉培训费报销（第808笔）
100809,2026-05-08,通讯费,1109.33,技术部,否,成都交通费报销（第809笔）
100810,2026-06-15,快递费,1110.70,行政部,是,成都办公用品报销（第810笔）
100811,2026-07-22,快递费,1112.07,行政部,否,深圳办公用品报销（第811笔）
100812,2026-08-01,差旅费,1113.44,财务部,否,深圳培训费报销（第812笔）
100813,2026-09-08,招待费,1114.81,行政部,是,上海快递费报销（第813笔）
100814,2026-10-15,通讯费,1116.18,技术部,否,上海通讯费报销（第814笔）
100815,2026-11-22,培训费,1117.55,技术部,否,西安维修费报销（第815笔）
100816,2026-12-01,培训费,1118.92,市场部,是,武汉交通费报销（第816笔）
100817,2026-01-08,快递费,1120.29,市场部,否,西安办公用品报销（第817笔）
100818,2026-02-15,通讯费,1121.66,财务部,否,上海招待费报销（第818笔）
100819,2026-03-22,招待费,1123.03,财务部,是,深圳招待费报销（第819笔）
100820,2026-04-01,通讯费,1124.40,财务部,否,成都交通费报销（第820笔）
100821,2026-05-08,通讯费,1125.77,行政部,否,北京招待费报销（第821笔）
100822,2026-06-15,交通费,1127.14,市场部,是,西安差旅费报销（第822笔）
100823,2026-07-22,快递费,1128.51,销售部,否,杭州招待费报销（第823笔）
100824,2026-08-01,培训费,1129.88,财务部,否,成都办公用品报销（第824笔）
100825,2026-09-08,办公用品,1131.25,技术部,是,成都办公用品报销（第825笔）
100826,2026-10-15,办公用品,1132.62,财务部,否,西安交通费报销（第826笔）
100827,2026-11-22,办公用品,1133.99,市场部,否,深圳通讯费报销（第827笔）
100828,2026-12-01,交通费,1135.36,财务部,是,深圳办公用品报销（第828笔）
100829,2026-01-08,差旅费,1136.73,行政部,否,北京通讯费报销（第829笔）
100830,2026-02-15,通讯费,1138.10,行政部,否,成都快递费报销（第830笔）
100831,2026-03-22,交通费,1139.47,技术部,是,深圳快递费报销（第831笔）
100832,2026-04-01,快递费,1140.84,技术部,否,深圳通讯费报销（第832笔）
100833,2026-05-08,维修费,1142.21,市场部,否,上海通讯费报销（第833笔）
100834,2026-06-15,快递费,1143.58,销售部,是,成都办公用品报销（第834笔）
100835,2026-07-22,通讯费,1144.95,市场部,否,成都快递费报销（第835笔）
100836,2026-08-01,差旅费,1146.32,行政部,否,北京通讯费报销（第836笔）
100837,2026-09-08,维修费,1147.69,财务部,是,武汉快递费报销（第837笔）
100838,2026-10-15,办公用品,1149.06,市场部,否,西安差旅费报销（第838笔）
100839,2026-11-22,维修费,1150.43,行政部,否,深圳维修费报销（第839笔）
100840,2026-12-01,交通费,1151.80,技术部,是,深圳招待费报销（第840笔）
100841,2026-01-08,维修费,1153.17,市场部,否,上海交通费报销（第841笔）
100842,2026-02-15,通讯费,1154.54,技术部,否,西安快递费报销（第842笔）
100843,2026-03-22,办公用品,1155.91,市场部,是,成都快递费报销（第843笔）
100844,2026-04-01,快递费,1157.28,销售部,否,上海交通费报销（第844笔）
100845,2026-05-08,培训费,1158.65,行政部,否,深圳培训费报销（第845笔）
100846,2026-06-15,快递费,1160.02,行政部,是,武汉维修费报销（第846笔）
100847,2026-07-22,快递费,1161.39,市场部,否,杭州交通费报销（第847笔）
100848,2026-08-01,培训费,1162.76,市场部,否,深圳差旅费报销（第848笔）
100849,2026-09-08,通讯费,1164.13,市场部,是,成都快递费报销（第849笔）
100850,2026-10-15,办公用品,1165.50,销售部,否,
100851,2026-11-22,办公用品,1166.87,技术部,否,杭州通讯费报销（第851笔）
100852,2026-12-01,快递费,1168.24,技术部,是,西安维修费报销（第852笔）
100853,2026-01-08,快递费,1169.61,市场部,否,西安快递费报销（第853笔）
100854,2026-02-15,快递费,1170.98,财务部,否,深圳培训费报销（第854笔）
100855,2026-03-22,差旅费,1172.35,技术部,是,成都通讯费报销（第855笔）
100856,2026-04-01,维修费,1173.72,市场部,否,西安维修费报销（第856笔）
100857,2026-05-08,交通费,1175.09,市场部,否,成都办公用品报销（第857笔）
100858,2026-06-15,交通费,1176.46,行政部,是,北京差旅费报销（第858笔）
100859,2026-07-22,招待费,1177.83,行政部,否,杭州快递费报销（第859笔）
100860,2026-08-01,培训费,1179.20,市场部,否,深圳招待费报销（第860笔）
100861,2026-09-08,快递费,1180.57,行政部,是,深圳培训费报销（第861笔）
100862,2026-10-15,交通费,1181.94,财务部,否,西安交通费报销（第862笔）
100863,2026-11-22,交通费,1183.31,行政部,否,杭州快递费报销（第863笔）
100864,2026-12-01,交通费,1184.68,市场部,是,成都差旅费报销（第864笔）
100865,2026-01-08,培训费,1186.05,销售部,否,上海招待费报销（第865笔）
100866,2026-02-15,通讯费,1187.42,行政部,否,西安差旅费报销（第866笔）
100867,2026-03-22,交通费,1188.79,财务部,是,成都招待费报销（第867笔）
100868,2026-04-01,快递费,1190.16,市场部,否,成都快递费报销（第868笔）
100869,2026-05-08,培训费,1191.53,行政部,否,西安通讯费报销（第869笔）
100870,2026-06-15,培训费,1192.90,销售部,是,杭州交通费报销（第870笔）
100871,2026-07-22,维修费,1194.27,财务部,否,深圳维修费报销（第871笔）
100872,2026-08-01,快递费,1195.64,技术部,否,北京培训费报销（第872笔）
100873,2026-09-08,通讯费,1197.01,财务部,是,上海维修费报销（第873笔）
100874,2026-10-15,交通费,1198.38,财务部,否,杭州差旅费报销（第874笔）
100875,2026-11-22,招待费,1199.75,销售部,否,西安维修费报销（第875笔）
100876,2026-12-01,交通费,1201.12,销售部,是,上海差旅费报销（第876笔）
100877,2026-01-08,通讯费,1202.49,财务部,否,成都快递费报销（第877笔）
100878,2026-02-15,招待费,1203.86,财务部,否,北京培训费报销（第878笔）
100879,2026-03-22,办公用品,1205.23,行政部,是,杭州办公用品报销（第879笔）
100880,2026-04-01,培训费,1206.60,市场部,否,西安交通费报销（第880笔）
100881,2026-05-08,通讯费,1207.97,行政部,否,深圳快递费报销（第881笔）
100882,2026-06-15,快递费,1209.34,市场部,是,成都差旅费报销（第882笔）
100883,2026-07-22,办公用品,1210.71,技术部,否,北京交通费报销（第883笔）
100884,2026-08-01,维修费,1212.08,技术部,否,成都办公用品报销（第884笔）
100885,2026-09-08,培训费,1213.45,技术部,是,杭州交通费报销（第885笔）
100886,2026-10-15,维修费,1214.82,技术部,否,上海维修费报销（第886笔）
100887,2026-11-22,维修费,1216.19,销售部,否,北京招待费报销（第887笔）
100888,2026-12-01,通讯费,1217.56,技术部,是,杭州交通费报销（第888笔）
100889,2026-01-08,招待费,1218.93,技术部,否,西安维修费报销（第889笔）
100890,2026-02-15,快递费,1220.30,行政部,否,深圳通讯费报销（第890笔）
100891,2026-03-22,交通费,1221.67,销售部,是,成都培训费报销（第891笔）
100892,2026-04-01,培训费,1223.04,销售部,否,西安维修费报销（第892笔）
100893,2026-05-08,通讯费,1224.41,行政部,否,深圳差旅费报销（第893笔）
100894,2026-06-15,维修费,1225.78,技术部,是,深圳差旅费报销（第894笔）
100895,2026-07-22,通讯费,1227.15,行政部,否,杭州通讯费报销（第895笔）
100896,2026-08-01,差旅费,1228.52,行政部,否,西安快递费报销（第896笔）
100897,2026-09-08,维修费,1229.89,市场部,是,上海办公用品报销（第897笔）
100898,2026-10-15,快递费,1231.26,销售部,否,西安培训费报销（第898笔）
100899,2026-11-22,交通费,1232.63,技术部,否,武汉通讯费报销（第899笔）
100900,2026-12-01,交通费,1234.00,市场部,是,
100901,2026-01-08,维修费,1235.37,行政部,否,杭州办公用品报销（第901笔）
100902,2026-02-15,交通费,1236.74,技术部,否,深圳通讯费报销（第902笔）
100903,2026-03-22,培训费,1238.11,行政部,是,武汉维修费报销（第903笔）
100904,2026-04-01,招待费,1239.48,技术部,否,深圳快递费报销（第904笔）
100905,2026-05-08,维修费,1240.85,市场部,否,武汉培训费报销（第905笔）
100906,2026-06-15,差旅费,1242.22,财务部,是,北京通讯费报销（第906笔）
100907,2026-07-22,快递费,1243.59,技术部,否,西安招待费报销（第907笔）
100908,2026-08-01,通讯费,1244.96,技术部,否,西安招待费报销（第908笔）
100909,2026-09-08,招待费,1246.33,销售部,是,西安交通费报销（第909笔）
100910,2026-10-15,通讯费,1247.70,行政部,否,北京交通费报销（第910笔）
100911,2026-11-22,差旅费,1249.07,技术部,否,北京招待费报销（第911笔）
100912,2026-12-01,差旅费,1250.44,市场部,是,杭州差旅费报销（第912笔）
100913,2026-01-08,通讯费,1251.81,技术部,否,杭州交通费报销（第913笔）
100914,2026-02-15,招待费,1253.18,行政部,否,武汉差旅费报销（第914笔）
100915,2026-03-22,通讯费,1254.55,销售部,是,武汉快递费报销（第915笔）
100916,2026-04-01,通讯费,1255.92,技术部,否,深圳通讯费报销（第916笔）
100917,2026-05-08,交通费,1257.29,技术部,否,武汉交通费报销（第917笔）
100918,2026-06-15,通讯费,1258.66,市场部,是,杭州维修费报销（第918笔）
100919,2026-07-22,维修费,1260.03,财务部,否,北京办公用品报销（第919笔）
100920,2026-08-01,快递费,1261.40,行政部,否,武汉招待费报销（第920笔）
100921,2026-09-08,招待费,1262.77,行政部,是,上海维修费报销（第921笔）
100922,2026-10-15,通讯费,1264.14,技术部,否,西安办公用品报销（第922笔）
100923,2026-11-22,招待费,1265.51,技术部,否,上海招待费报销（第923笔）
100924,2026-12-01,通讯费,1266.88,市场部,是,深圳招待费报销（第924笔）
100925,2026-01-08,招待费,1268.25,行政部,否,西安交通费报销（第925笔）
100926,2026-02-15,差旅费,1269.62,行政部,否,成都培训费报销（第926笔）
100927,2026-03-22,招待费,1270.99,行政部,是,深圳快递费报销（第927笔）
100928,2026-04-01,维修费,1272.36,财务部,否,北京通讯费报销（第928笔）
100929,2026-05-08,差旅费,1273.73,财务部,否,武汉招待费报销（第929笔）
100930,2026-06-15,通讯费,1275.10,市场部,是,武汉培训费报销（第930笔）
100931,2026-07-22,培训费,1276.47,财务部,否,西安办公用品报销（第931笔）
100932,2026-08-01,差旅费,1277.84,财务部,否,杭州交通费报销（第932笔）
100933,2026-09-08,快递费,1279.21,技术部,是,西安培训费报销（第933笔）
100934,2026-10-15,通讯费,1280.58,财务部,否,北京通讯费报销（第934笔）
100935,2026-11-22,通讯费,1281.95,技术部,否,深圳交通费报销（第935笔）
100936,2026-12-01,办公用品,1283.32,市场部,是,上海招待费报销（第936笔）
100937,2026-01-08,维修费,1284.69,财务部,否,深圳差旅费报销（第937笔）
100938,2026-02-15,维修费,1286.06,市场部,否,成都通讯费报销（第938笔）
100939,2026-03-22,办公用品,1287.43,财务部,是,武汉交通费报销（第939笔）
100940,2026-04-01,办公用品,1288.80,行政部,否,深圳培训费报销（第940笔）
100941,2026-05-08,通讯费,1290.17,行政部,否,深圳维修费报销（第941笔）
100942,2026-06-15,交通费,1291.54,技术部,是,成都办公用品报销（第942笔）
100943,2026-07-22,培训费,1292.91,财务部,否,北京办公用品报销（第943笔）
100944,2026-08-01,快递费,1294.28,市场部,否,成都招待费报销（第944笔）
100945,2026-09-08,招待费,1295.65,销售部,是,北京差旅费报销（第945笔）
100946,2026-10-15,通讯费,1297.02,财务部,否,上海交通费报销（第946笔）
100947,2026-11-22,维修费,1298.39,行政部,否,深圳招待费报销（第947笔）
100948,2026-12-01,快递费,1299.76,技术部,是,深圳快递费报销（第948笔）
100949,2026-01-08,培训费,1301.13,财务部,否,杭州差旅费报销（第949笔）
100950,2026-02-15,办公用品,1302.50,市场部,否,
100951,2026-03-22,交通费,1303.87,财务部,是,武汉维修费报销（第951笔）
100952,2026-04-01,交通费,1305.24,财务部,否,上海招待费报销（第952笔）
100953,2026-05-08,差旅费,1306.61,技术部,否,武汉维修费报销（第953笔）
100954,2026-06-15,差旅费,1307.98,销售部,是,杭州办公用品报销（第954笔）
100955,2026-07-22,差旅费,1309.35,财务部,否,上海培训费报销（第955笔）
100956,2026-08-01,快递费,1310.72,销售部,否,西安培训费报销（第956笔）
100957,2026-09-08,差旅费,1312.09,技术部,是,成都维修费报销（第957笔）
100958,2026-10-15,快递费,1313.46,技术部,否,成都办公用品报销（第958笔）
100959,2026-11-22,快递费,1314.83,技术部,否,杭州交通费报销（第959笔）
100960,2026-12-01,招待费,1316.20,财务部,是,深圳办公用品报销（第960笔）
100961,2026-01-08,差旅费,1317.57,财务部,否,成都差旅费报销（第961笔）
100962,2026-02-15,快递费,1318.94,技术部,否,西安培训费报销（第962笔）
100963,2026-03-22,招待费,1320.31,销售部,是,北京快递费报销（第963笔）
100964,2026-04-01,培训费,1321.68,技术部,否,西安差旅费报销（第964笔）
100965,2026-05-08,差旅费,1323.05,行政部,否,北京办公用品报销（第965笔）
100966,2026-06-15,通讯费,1324.42,市场部,是,上海招待费报销（第966笔）
100967,2026-07-22,交通费,1325.79,行政部,否,杭州差旅费报销（第967笔）
100968,2026-08-01,招待费,1327.16,市场部,否,武汉办公用品报销（第968笔）
100969,2026-09-08,差旅费,1328.53,行政部,是,西安招待费报销（第969笔）
100970,2026-10-15,办公用品,1329.90,销售部,否,北京通讯费报销（第970笔）
100971,2026-11-22,培训费,1331.27,财务部,否,西安维修费报销（第971笔）
100972,2026-12-01,差旅费,1332.64,技术部,是,杭州交通费报销（第972笔）
100973,2026-01-08,差旅费,1334.01,技术部,否,杭州维修费报销（第973笔）
100974,2026-02-15,办公用品,1335.38,财务部,否,武汉办公用品报销（第974笔）
100975,2026-03-22,招待费,1336.75,行政部,是,武汉差旅费报销（第975笔）
100976,2026-04-01,办公用品,1338.12,市场部,否,杭州培训费报销（第976笔）
100977,2026-05-08,培训费,1339.49,市场部,否,成都差旅费报销（第977笔）
100978,2026-06-15,通讯费,1340.86,财务部,是,杭州交通费报销（第978笔）
100979,2026-07-22,培训费,1342.23,销售部,否,武汉交通费报销（第979笔）
100980,2026-08-01,培训费,1343.60,销售部,否,上海培训费报销（第980笔）
100981,2026-09-08,办公用品,1344.97,销售部,是,杭州办公用品报销（第981笔）
100982,2026-10-15,交通费,1346.34,财务部,否,成都差旅费报销（第982笔）
100983,2026-11-22,维修费,1347.71,销售部,否,成都差旅费报销（第983笔）
100984,2026-12-01,差旅费,1349.08,市场部,是,深圳维修费报销（第984笔）
100985,2026-01-08,通讯费,1350.45,行政部,否,西安通讯费报销（第985笔）
100986,2026-02-15,通讯费,1351.82,销售部,否,武汉培训费报销（第986笔）
100987,2026-03-22,通讯费,1353.19,市场部,是,杭州维修费报销（第987笔）
100988,2026-04-01,办公用品,1354.56,市场部,否,武汉快递费报销（第988笔）
100989,2026-05-08,交通费,1355.93,销售部,否,西安快递费报销（第989笔）
100990,2026-06-15,办公用品,1357.30,销售部,是,深圳培训费报销（第990笔）
100991,2026-07-22,交通费,1358.67,市场部,否,武汉差旅费报销（第991笔）
100992,2026-08-01,招待费,1360.04,销售部,否,杭州通讯费报销（第992笔）
100993,2026-09-08,快递费,1361.41,技术部,是,上海差旅费报销（第993笔）
100994,2026-10-15,维修费,1362.78,市场部,否,武汉办公用品报销（第994笔）
100995,2026-11-22,招待费,1364.15,销售部,否,成都快递费报销（第995笔）
100996,2026-12-01,招待费,1365.52,行政部,是,上海办公用品报销（第996笔）
100997,2026-01-08,通讯费,1366.89,行政部,否,深圳招待费报销（第997笔）
100998,2026-02-15,维修费,1368.26,销售部,否,西安通讯费报销（第998笔）
100999,2026-03-22,快递费,1369.63,销售部,是,西安维修费报销（第999笔）
101000,2026-04-01,招待费,1371.00,市场部,否,
101001,2026-05-08,交通费,1372.37,技术部,否,成都维修费报销（第1001笔）
101002,2026-06-15,快递费,1373.74,行政部,是,武汉培训费报销（第1002笔）
101003,2026-07-22,交通费,1375.11,行政部,否,西安办公用品报销（第1003笔）
101004,2026-08-01,维修费,1376.48,市场部,否,武汉办公用品报销（第1004笔）
101005,2026-09-08,维修费,1377.85,市场部,是,北京通讯费报销（第1005笔）
101006,2026-10-15,快递费,1379.22,技术部,否,成都维修费报销（第1006笔）
101007,2026-11-22,培训费,1380.59,技术部,否,上海通讯费报销（第1007笔）
101008,2026-12-01,招待费,1381.96,财务部,是,成都通讯费报销（第1008笔）
101009,2026-01-08,交通费,1383.33,销售部,否,杭州交通费报销（第1009笔）
101010,2026-02-15,通讯费,1384.70,技术部,否,深圳差旅费报销（第1010笔）
101011,2026-03-22,快递费,1386.07,销售部,是,深圳通讯费报销（第1011笔）
101012,2026-04-01,交通费,1387.44,销售部,否,深圳快递费报销（第1012笔）
101013,2026-05-08,培训费,1388.81,行政部,否,成都交通费报销（第1013笔）
101014,2026-06-15,办公用品,1390.18,技术部,是,成都培训费报销（第1014笔）
101015,2026-07-22,快递费,1391.55,市场部,否,武汉交通费报销（第1015笔）
101016,2026-08-01,通讯费,1392.92,市场部,否,杭州培训费报销（第1016笔）
101017,2026-09-08,培训费,1394.29,市场部,是,武汉招待费报销（第1017笔）
101018,2026-10-15,招待费,1395.66,技术部,否,深圳办公用品报销（第1018笔）
101019,2026-11-22,交通费,1397.03,技术部,否,武汉差旅费报销（第1019笔）
101020,2026-12-01,快递费,1398.40,市场部,是,西安快递费报销（第1020笔）
101021,2026-01-08,交通费,1399.77,行政部,否,深圳培训费报销（第1021笔）
101022,2026-02-15,交通费,1401.14,财务部,否,北京快递费报销（第1022笔）
101023,2026-03-22,维修费,1402.51,销售部,是,西安招待费报销（第1023笔）
101024,2026-04-01,差旅费,1403.88,技术部,否,西安快递费报销（第1024笔）
101025,2026-05-08,招待费,1405.25,市场部,否,西安培训费报销（第1025笔）
101026,2026-06-15,办公用品,1406.62,财务部,是,杭州交通费报销（第1026笔）
101027,2026-07-22,办公用品,1407.99,市场部,否,杭州维修费报销（第1027笔）
101028,2026-08-01,差旅费,1409.36,销售部,否,北京维修费报销（第1028笔）
101029,2026-09-08,维修费,1410.73,销售部,是,杭州办公用品报销（第1029笔）
101030,2026-10-15,通讯费,1412.10,市场部,否,上海交通费报销（第1030笔）
101031,2026-11-22,培训费,1413.47,财务部,否,武汉招待费报销（第1031笔）
101032,2026-12-01,培训费,1414.84,行政部,是,成都招待费报销（第1032笔）
101033,2026-01-08,办公用品,1416.21,财务部,否,深圳招待费报销（第1033笔）
101034,2026-02-15,通讯费,1417.58,销售部,否,上海办公用品报销（第1034笔）
101035,2026-03-22,招待费,1418.95,市场部,是,上海维修费报销（第1035笔）
101036,2026-04-01,培训费,1420.32,技术部,否,武汉招待费报销（第1036笔）
101037,2026-05-08,差旅费,1421.69,行政部,否,深圳快递费报销（第1037笔）
101038,2026-06-15,办公用品,1423.06,市场部,是,武汉维修费报销（第1038笔）
101039,2026-07-22,维修费,1424.43,市场部,否,西安办公用品报销（第1039笔）
101040,2026-08-01,办公用品,1425.80,财务部,否,杭州维修费报销（第1040笔）
101041,2026-09-08,招待费,1427.17,行政部,是,杭州维修费报销（第1041笔）
101042,2026-10-15,通讯费,1428.54,行政部,否,西安办公用品报销（第1042笔）
101043,2026-11-22,差旅费,1429.91,市场部,否,西安办公用品报销（第1043笔）
101044,2026-12-01,招待费,1431.28,销售部,是,杭州快递费报销（第1044笔）
101045,2026-01-08,培训费,1432.65,行政部,否,深圳交通费报销（第1045笔）
101046,2026-02-15,交通费,1434.02,财务部,否,西安办公用品报销（第1046笔）
101047,2026-03-22,办公用品,1435.39,销售部,是,武汉快递费报销（第1047笔）
101048,2026-04-01,快递费,1436.76,财务部,否,深圳办公用品报销（第1048笔）
101049,2026-05-08,办公用品,1438.13,行政部,否,杭州差旅费报销（第1049笔）
101050,2026-06-15,交通费,1439.50,行政部,是,
101051,2026-07-22,培训费,1440.87,行政部,否,成都招待费报销（第1051笔）
101052,2026-08-01,维修费,1442.24,行政部,否,北京快递费报销（第1052笔）
101053,2026-09-08,办公用品,1443.61,财务部,是,北京差旅费报销（第1053笔）
101054,2026-10-15,快递费,1444.98,技术部,否,西安差旅费报销（第1054笔）
101055,2026-11-22,通讯费,1446.35,行政部,否,西安差旅费报销（第1055笔）
101056,2026-12-01,培训费,1447.72,市场部,是,深圳维修费报销（第1056笔）
101057,2026-01-08,差旅费,1449.09,销售部,否,北京交通费报销（第1057笔）
101058,2026-02-15,交通费,1450.46,销售部,否,成都通讯费报销（第1058笔）
101059,2026-03-22,通讯费,1451.83,技术部,是,上海交通费报销（第1059笔）
101060,2026-04-01,通讯费,1453.20,市场部,否,深圳通讯费报销（第1060笔）
101061,2026-05-08,通讯费,1454.57,销售部,否,上海培训费报销（第1061笔）
101062,2026-06-15,交通费,1455.94,财务部,是,西安招待费报销（第1062笔）
101063,2026-07-22,快递费,1457.31,销售部,否,杭州快递费报销（第1063笔）
101064,2026-08-01,维修费,1458.68,财务部,否,成都交通费报销（第1064笔）
101065,2026-09-08,维修费,1460.05,技术部,是,武汉培训费报销（第1065笔）
101066,2026-10-15,快递费,1461.42,市场部,否,北京快递费报销（第1066笔）
